"Label","Variable","Min.","Q1.25.","Med.","Vid.","Q3.75.","Maks.","Disp.","SdNuok.","VarK.","VarKKlase"
"0","signal_std","0.1368","0.2404","0.267","0.3048","0.3601","0.8259","0.0172","0.1311","42.9959","vidutine"
"0","wl_side","73","99","112","110.4699","121","172","352.6641","18.7794","16.9995","maza"
"0","R_val","0.6784","1.1894","1.6027","1.5701","1.8645","2.9692","0.2083","0.4564","29.0706","maza"
"0","RR_r_0/RR_r_1","0.2873","0.9722","1","0.9927","1.025","2.1515","0.0295","0.1719","17.3131","maza"
"0","P_val","-0.6616","-0.2573","-0.1778","-0.0965","-0.0617","2.2769","0.1246","0.353","365.6847","didele"
"0","Q_val","-0.9827","-0.5362","-0.4612","-0.4282","-0.2994","0.0909","0.0264","0.1626","37.9826","vidutine"
"1","signal_std","0.0707","0.127","0.1479","0.1595","0.1656","0.5879","0.0043","0.0652","40.9014","vidutine"
"1","wl_side","45","86.75","100","92.86","103","137","258.2128","16.069","17.3045","maza"
"1","R_val","0.0556","0.4404","0.5737","0.6392","0.7335","2.3298","0.1009","0.3176","49.6943","vidutine"
"1","RR_r_0/RR_r_1","0.1299","0.9695","1.0134","1.2787","1.6016","3.6296","0.5343","0.731","57.1645","vidutine"
"1","P_val","-1.0135","-0.2263","-0.1599","-0.1517","-0.0803","0.5808","0.0195","0.1396","92.0188","didele"
"1","Q_val","-1.4053","-0.2721","-0.2094","-0.2129","-0.1297","0.2244","0.0211","0.1453","68.263","vidutine"
"2","signal_std","0.1378","0.4153","0.4998","0.5235","0.6188","1.1293","0.0315","0.1774","33.8865","vidutine"
"2","wl_side","40","61","70","70.024","78.25","133","146.0475","12.085","17.2584","maza"
"2","R_val","-0.1434","0.7134","0.996","1.2034","1.5312","2.9445","0.4355","0.6599","54.8388","vidutine"
"2","RR_r_0/RR_r_1","0.3357","1.1882","1.3417","1.3877","1.6039","2.549","0.1558","0.3947","28.445","maza"
"2","P_val","-0.5331","0.3895","0.6015","0.594","0.8465","2.0307","0.2123","0.4608","77.5652","didele"
"2","Q_val","-2.7169","-0.4226","-0.204","-0.3057","0.2514","1.4205","0.6683","0.8175","267.4253","didele"
